nr. sessions,nr. rest days,total kms,max km one day,"nr. tough sessions (effort in Z5, T1 or T2)",nr. strength trainings
6.0,1.0,13.2,7.1,0.0,0.0
5.0,2.0,51.0,13.5,2.0,0.0
3.0,4.0,5.0,5.0,0.0,2.0
6.0,2.0,63.2,17.0,1.0,0.0
5.0,2.0,34.9,12.3,3.0,1.0
6.0,1.0,48.4,14.4,2.0,0.0
4.0,3.0,31.4,9.4,0.0,0.0
5.0,2.0,27.1,6.8,2.0,0.0
6.0,1.0,43.1,11.4,1.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,4.0,26.3,10.3,0.0,0.0
5.0,2.0,36.1,10.1,2.0,0.0
6.0,1.0,36.4,10.0,1.0,0.0
7.0,0.0,23.0,7.6,1.0,2.0
6.0,1.0,47.0,11.8,2.0,0.0
6.0,2.0,45.6,15.3,1.0,2.0
6.0,2.0,51.8,17.1,0.0,1.0
7.0,0.0,56.7,9.9,2.0,0.0
5.0,2.0,54.3,15.6,4.0,0.0
8.0,0.0,123.0,27.0,0.0,0.0
5.0,2.0,39.1,12.5,1.0,1.0
7.0,0.0,32.0,13.5,0.0,4.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,3.0,32.1,12.4,0.0,1.0
5.0,3.0,54.5,18.0,2.0,0.0
1.0,6.0,7.0,7.0,0.0,0.0
3.0,4.0,0.0,0.0,0.0,0.0
8.0,1.0,54.1,16.5,0.0,2.0
7.0,1.0,95.8,24.8,2.0,0.0
5.0,2.0,39.6,13.7,3.0,1.0
6.0,1.0,8.1,3.1,0.0,3.0
5.0,3.0,37.0,15.0,0.0,1.0
8.0,1.0,5.2,3.2,0.0,2.0
6.0,1.0,30.0,9.0,0.0,0.0
7.0,1.0,58.8,14.6,3.0,1.0
11.0,0.0,40.0,10.0,0.0,3.0
9.0,0.0,95.1,20.9,0.0,0.0
10.0,0.0,32.4,11.2,2.0,2.0
5.0,2.0,82.8,20.5,0.0,0.0
4.0,3.0,40.0,11.0,0.0,0.0
3.0,4.0,28.1,11.1,0.0,0.0
4.0,3.0,37.5,11.0,0.0,0.0
11.0,0.0,42.0,11.4,2.0,2.0
8.0,0.0,30.6,14.6,0.0,2.0
8.0,1.0,23.5,8.5,0.0,1.0
10.0,0.0,86.0,20.7,2.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,14.5,7.5,0.0,2.0
7.0,0.0,82.3,19.0,3.0,0.0
5.0,2.0,25.8,11.3,2.0,0.0
5.0,2.0,61.3,20.5,2.0,1.0
6.0,2.0,0.1,0.1,0.0,1.0
7.0,2.0,70.8,21.0,0.0,0.0
5.0,2.0,31.9,12.0,2.0,1.0
2.0,5.0,3.6,2.2,0.0,0.0
7.0,0.0,74.6,14.0,2.0,0.0
6.0,3.0,44.5,16.0,0.0,1.0
6.0,1.0,44.2,11.5,3.0,1.0
6.0,2.0,36.7,11.5,1.0,0.0
6.0,1.0,52.7,12.7,2.0,1.0
6.0,1.0,36.6,8.2,0.0,0.0
9.0,0.0,102.6,24.5,2.0,2.0
7.0,0.0,31.3,10.0,0.0,3.0
5.0,2.0,0.0,0.0,0.0,0.0
8.0,1.0,0.0,0.0,0.0,3.0
9.0,1.0,85.2,22.8,3.0,1.0
8.0,1.0,76.5,20.0,2.0,1.0
6.0,2.0,64.3,15.0,1.0,0.0
5.0,2.0,63.4,16.1,1.0,0.0
6.0,1.0,86.5,17.0,1.0,0.0
6.0,1.0,59.0,14.5,1.0,0.0
7.0,0.0,55.3,14.6,2.0,1.0
6.0,2.0,39.0,11.0,0.0,2.0
5.0,2.0,50.5,14.2,1.0,0.0
6.0,2.0,20.0,10.0,0.0,0.0
12.0,0.0,98.6,21.2,0.0,1.0
8.0,0.0,113.3,22.0,1.0,0.0
4.0,3.0,11.7,6.0,1.0,0.0
4.0,3.0,68.7,22.5,0.0,0.0
8.0,1.0,75.7,23.2,0.0,1.0
6.0,1.0,46.2,12.9,2.0,0.0
3.0,5.0,16.1,10.1,0.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,59.0,20.0,0.0,1.0
2.0,5.0,8.0,8.0,0.0,0.0
4.0,3.0,34.0,13.0,0.0,0.0
2.0,5.0,12.0,6.0,0.0,0.0
4.0,3.0,31.5,18.0,2.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,33.8,11.0,1.0,0.0
8.0,0.0,124.2,22.0,0.0,0.0
8.0,1.0,109.9,33.9,0.0,1.0
7.0,1.0,56.1,21.3,1.0,1.0
4.0,4.0,0.0,0.0,0.0,1.0
6.0,1.0,39.8,18.0,2.0,0.0
6.0,1.0,90.4,21.2,0.0,0.0
8.0,0.0,72.9,15.9,2.0,1.0
6.0,1.0,29.1,7.9,3.0,1.0
5.0,2.0,70.3,20.0,0.0,0.0
11.0,0.0,182.9,38.0,2.0,0.0
7.0,0.0,70.6,21.5,3.0,1.0
3.0,4.0,15.3,6.8,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
10.0,0.0,110.0,31.0,2.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
8.0,0.0,120.3,23.5,0.0,0.0
8.0,1.0,3.6,3.6,0.0,2.0
7.0,1.0,72.2,15.0,2.0,1.0
5.0,2.0,42.4,16.4,2.0,1.0
7.0,1.0,110.8,33.4,2.0,0.0
6.0,1.0,51.9,12.0,0.0,0.0
8.0,0.0,81.4,31.0,1.0,1.0
8.0,2.0,68.0,19.0,1.0,1.0
10.0,0.0,179.6,34.0,2.0,0.0
7.0,0.0,39.0,12.9,2.0,1.0
7.0,0.0,62.8,12.4,1.0,0.0
9.0,0.0,11.6,4.5,0.0,2.0
7.0,0.0,80.6,15.7,2.0,0.0
3.0,4.0,31.0,15.0,0.0,0.0
6.0,1.0,51.8,11.0,2.0,0.0
7.0,1.0,44.7,15.0,2.0,1.0
7.0,0.0,58.4,12.4,2.0,0.0
7.0,1.0,50.0,12.1,1.0,0.0
8.0,0.0,39.5,16.0,1.0,2.0
2.0,5.0,12.0,7.0,0.0,0.0
3.0,4.0,16.8,7.0,1.0,0.0
4.0,3.0,16.1,5.8,1.0,0.0
8.0,1.0,113.1,35.1,2.0,0.0
7.0,1.0,69.1,22.0,2.0,1.0
6.0,2.0,30.0,12.0,1.0,2.0
5.0,2.0,26.4,8.3,1.0,1.0
4.0,3.0,25.5,10.0,1.0,0.0
9.0,0.0,96.7,20.3,3.0,0.0
9.0,1.0,18.7,6.3,0.0,3.0
7.0,1.0,55.3,13.0,3.0,1.0
6.0,1.0,99.0,23.0,2.0,0.0
8.0,2.0,38.5,12.0,0.0,1.0
7.0,1.0,27.3,11.8,0.0,2.0
3.0,4.0,33.1,16.1,1.0,0.0
5.0,2.0,52.0,26.0,0.0,1.0
6.0,2.0,0.0,0.0,0.0,0.0
8.0,1.0,108.6,25.8,1.0,1.0
6.0,1.0,86.8,19.0,1.0,0.0
5.0,2.0,4.0,2.5,0.0,0.0
7.0,0.0,24.2,7.2,0.0,2.0
6.0,1.0,47.0,10.0,0.0,0.0
6.0,1.0,44.8,13.0,0.0,1.0
5.0,2.0,17.5,10.5,0.0,0.0
5.0,2.0,46.0,11.0,2.0,0.0
6.0,2.0,37.5,13.2,2.0,1.0
3.0,4.0,21.3,9.8,0.0,0.0
3.0,4.0,31.5,13.1,2.0,1.0
6.0,2.0,0.0,0.0,0.0,2.0
7.0,1.0,59.0,12.3,4.0,1.0
3.0,4.0,20.5,10.3,0.0,0.0
3.0,4.0,30.0,11.0,0.0,0.0
6.0,1.0,80.9,19.0,2.0,1.0
6.0,1.0,96.0,20.3,2.0,0.0
7.0,2.0,23.0,13.0,0.0,1.0
4.0,3.0,34.5,14.0,1.0,0.0
5.0,2.0,43.0,12.0,0.0,0.0
5.0,2.0,69.7,19.0,1.0,0.0
6.0,1.0,36.8,10.9,2.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,3.0,25.3,9.8,1.0,3.0
8.0,1.0,57.9,15.0,3.0,1.0
6.0,1.0,94.4,20.3,2.0,0.0
10.0,1.0,72.6,24.5,3.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
9.0,0.0,90.0,16.7,2.0,3.0
6.0,1.0,87.4,19.1,1.0,0.0
4.0,3.0,59.6,18.0,0.0,0.0
3.0,4.0,8.0,6.0,0.0,0.0
6.0,2.0,44.6,13.1,2.0,1.0
5.0,2.0,62.5,42.8,0.0,0.0
3.0,4.0,9.3,4.8,0.0,0.0
10.0,0.0,168.0,31.0,1.0,2.0
6.0,1.0,0.0,0.0,0.0,2.0
6.0,1.0,53.3,14.0,2.0,2.0
4.0,3.0,26.5,9.0,2.0,0.0
7.0,1.0,60.5,15.0,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
8.0,0.0,86.4,18.0,3.0,2.0
3.0,4.0,11.2,8.4,2.0,1.0
10.0,1.0,100.3,26.8,0.0,1.0
7.0,1.0,62.2,13.3,1.0,1.0
8.0,0.0,105.0,29.0,1.0,0.0
6.0,2.0,12.7,6.6,0.0,0.0
8.0,1.0,117.3,26.0,1.0,0.0
2.0,5.0,52.0,30.0,0.0,1.0
7.0,0.0,86.7,14.1,1.0,0.0
6.0,1.0,37.1,13.4,3.0,1.0
6.0,1.0,110.0,24.0,2.0,0.0
4.0,3.0,37.5,10.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,75.7,14.0,2.0,0.0
4.0,3.0,10.1,10.1,0.0,2.0
6.0,1.0,16.2,4.5,0.0,0.0
7.0,0.0,79.2,19.2,2.0,2.0
10.0,0.0,71.7,19.0,2.0,1.0
8.0,1.0,116.2,33.9,2.0,1.0
11.0,0.0,111.3,24.0,1.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,63.0,17.3,1.0,1.0
1.0,6.0,6.0,6.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,3.0,88.0,28.0,0.0,0.0
6.0,2.0,38.2,13.0,0.0,0.0
4.0,3.0,1.7,1.7,0.0,2.0
6.0,1.0,46.0,11.5,3.0,1.0
6.0,1.0,10.9,4.3,0.0,0.0
4.0,3.0,23.8,11.2,1.0,1.0
4.0,3.0,54.3,16.7,0.0,0.0
6.0,1.0,74.8,16.4,1.0,0.0
5.0,2.0,71.6,20.1,2.0,0.0
7.0,0.0,46.0,10.0,0.0,1.0
12.0,0.0,127.9,24.2,1.0,1.0
7.0,0.0,133.0,32.0,1.0,0.0
7.0,0.0,68.3,14.1,2.0,0.0
7.0,1.0,38.0,14.0,1.0,3.0
6.0,1.0,19.5,10.3,0.0,3.0
5.0,2.0,70.7,16.5,0.0,0.0
3.0,4.0,18.0,10.0,1.0,0.0
5.0,2.0,51.0,15.0,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,3.0,10.5,6.0,2.0,0.0
3.0,4.0,0.0,0.0,0.0,2.0
5.0,2.0,33.7,12.0,0.0,2.0
4.0,3.0,33.7,12.6,2.0,0.0
8.0,1.0,62.6,19.0,3.0,3.0
6.0,2.0,37.5,13.2,2.0,1.0
8.0,1.0,30.0,14.0,0.0,0.0
7.0,1.0,74.9,33.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
9.0,1.0,105.9,23.2,0.0,2.0
3.0,4.0,37.3,14.9,0.0,0.0
5.0,2.0,41.0,11.0,2.0,0.0
7.0,0.0,74.8,16.9,0.0,2.0
5.0,2.0,29.1,10.3,1.0,1.0
6.0,1.0,52.7,13.0,0.0,0.0
4.0,3.0,62.6,18.0,0.0,0.0
6.0,1.0,40.9,12.5,3.0,2.0
3.0,5.0,12.8,6.7,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,53.9,16.0,1.0,0.0
9.0,0.0,90.1,15.7,2.0,2.0
6.0,1.0,64.6,14.9,2.0,0.0
6.0,1.0,51.4,11.5,2.0,0.0
10.0,0.0,82.4,19.5,2.0,0.0
6.0,1.0,39.3,12.0,1.0,1.0
8.0,0.0,92.2,28.3,2.0,0.0
5.0,2.0,8.0,8.0,0.0,3.0
6.0,1.0,49.5,16.0,2.0,2.0
4.0,3.0,1.0,1.0,0.0,1.0
9.0,0.0,129.3,22.0,1.0,1.0
7.0,1.0,121.3,34.5,1.0,0.0
6.0,1.0,32.3,12.3,1.0,1.0
6.0,1.0,40.7,13.5,1.0,1.0
3.0,4.0,43.4,19.4,1.0,0.0
6.0,1.0,17.0,9.2,0.0,2.0
7.0,1.0,79.0,18.0,1.0,0.0
5.0,2.0,44.2,13.0,2.0,0.0
6.0,1.0,50.4,10.0,2.0,1.0
3.0,4.0,35.8,14.0,0.0,0.0
10.0,0.0,152.0,26.0,1.0,1.0
4.0,3.0,31.4,11.5,2.0,1.0
10.0,1.0,22.6,10.3,0.0,1.0
6.0,1.0,19.2,4.8,1.0,1.0
3.0,4.0,12.0,7.0,0.0,1.0
8.0,0.0,28.0,11.2,0.0,0.0
8.0,0.0,55.4,10.0,2.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
11.0,0.0,157.5,43.2,1.0,0.0
7.0,1.0,53.0,14.2,0.0,1.0
6.0,2.0,41.0,12.0,2.0,2.0
11.0,0.0,77.6,19.6,1.0,2.0
3.0,4.0,16.5,11.0,0.0,0.0
5.0,2.0,32.8,12.4,0.0,0.0
4.0,3.0,22.2,9.0,0.0,0.0
5.0,2.0,58.0,15.9,1.0,0.0
8.0,1.0,39.9,12.4,1.0,2.0
3.0,4.0,17.2,10.2,1.0,1.0
7.0,0.0,59.4,13.5,0.0,2.0
5.0,2.0,40.3,15.3,1.0,1.0
6.0,2.0,46.1,15.2,0.0,1.0
6.0,2.0,65.3,15.0,2.0,1.0
9.0,1.0,134.1,34.0,2.0,0.0
7.0,1.0,38.7,9.7,1.0,2.0
3.0,4.0,22.0,7.9,0.0,0.0
5.0,3.0,0.0,0.0,0.0,0.0
3.0,4.0,24.4,14.3,1.0,0.0
4.0,3.0,15.0,9.0,0.0,0.0
4.0,3.0,35.2,12.5,0.0,0.0
5.0,2.0,74.0,26.0,0.0,0.0
3.0,4.0,19.2,12.2,1.0,1.0
12.0,0.0,109.9,25.0,2.0,0.0
7.0,0.0,39.1,13.0,2.0,1.0
4.0,3.0,61.5,18.0,0.0,0.0
6.0,1.0,71.0,16.0,1.0,0.0
11.0,0.0,160.3,30.6,0.0,1.0
7.0,0.0,21.4,9.2,1.0,2.0
11.0,0.0,75.2,19.0,0.0,4.0
6.0,2.0,101.6,28.0,2.0,1.0
4.0,3.0,36.3,11.0,1.0,0.0
5.0,2.0,31.0,8.2,0.0,0.0
7.0,1.0,64.0,15.0,4.0,1.0
5.0,2.0,26.6,8.3,1.0,1.0
5.0,2.0,44.0,12.0,0.0,1.0
8.0,0.0,92.4,18.8,1.0,1.0
12.0,0.0,152.1,30.1,1.0,2.0
3.0,4.0,29.5,17.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,74.7,18.2,1.0,2.0
4.0,3.0,47.3,15.4,0.0,0.0
8.0,0.0,79.9,17.4,1.0,1.0
7.0,0.0,42.0,12.2,1.0,2.0
7.0,1.0,69.7,16.5,1.0,0.0
6.0,1.0,32.7,15.6,0.0,0.0
8.0,0.0,46.1,10.0,1.0,2.0
5.0,2.0,44.3,14.0,3.0,1.0
3.0,4.0,21.4,9.0,0.0,0.0
6.0,1.0,24.7,8.7,0.0,1.0
8.0,0.0,86.3,20.0,0.0,0.0
8.0,0.0,22.1,6.1,0.0,1.0
5.0,2.0,45.8,15.5,1.0,1.0
6.0,1.0,97.7,22.8,2.0,0.0
6.0,1.0,23.9,6.5,0.0,2.0
6.0,1.0,41.3,11.2,3.0,0.0
7.0,1.0,55.9,18.9,1.0,3.0
1.0,6.0,48.0,48.0,0.0,0.0
6.0,1.0,68.6,32.9,0.0,0.0
8.0,1.0,26.8,12.0,0.0,4.0
5.0,2.0,70.0,18.0,2.0,0.0
6.0,2.0,46.1,14.1,1.0,1.0
9.0,0.0,73.5,18.1,4.0,2.0
5.0,2.0,13.2,7.1,0.0,0.0
4.0,3.0,26.2,11.2,1.0,1.0
7.0,2.0,51.0,15.0,0.0,2.0
6.0,1.0,95.0,27.0,1.0,1.0
11.0,1.0,119.2,21.7,2.0,2.0
5.0,2.0,79.6,22.0,2.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,24.0,6.8,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,36.1,13.4,1.0,2.0
6.0,1.0,60.9,16.0,0.0,1.0
7.0,1.0,67.8,40.0,0.0,2.0
5.0,2.0,62.9,15.0,1.0,1.0
6.0,1.0,56.0,14.5,3.0,1.0
5.0,2.0,32.9,17.6,0.0,1.0
6.0,1.0,61.9,16.5,1.0,1.0
4.0,3.0,9.0,9.0,0.0,0.0
7.0,1.0,43.4,12.5,1.0,1.0
6.0,1.0,75.0,21.3,2.0,1.0
6.0,1.0,54.8,15.7,2.0,1.0
7.0,1.0,53.9,13.1,2.0,1.0
7.0,0.0,40.9,14.5,0.0,1.0
7.0,0.0,59.0,17.7,0.0,2.0
5.0,2.0,33.3,13.5,1.0,1.0
3.0,4.0,37.8,20.0,0.0,0.0
5.0,2.0,49.9,19.0,2.0,1.0
4.0,3.0,35.0,13.0,0.0,0.0
6.0,1.0,31.0,8.6,3.0,2.0
7.0,0.0,36.3,10.0,0.0,2.0
9.0,1.0,136.9,29.4,0.0,0.0
5.0,2.0,56.9,17.0,2.0,0.0
3.0,5.0,0.0,0.0,0.0,2.0
8.0,1.0,156.0,38.0,3.0,0.0
4.0,3.0,4.7,4.7,0.0,3.0
7.0,0.0,131.1,84.0,0.0,1.0
6.0,1.0,32.0,10.3,0.0,2.0
5.0,2.0,61.0,14.7,2.0,1.0
6.0,1.0,66.2,13.9,2.0,0.0
7.0,2.0,62.5,23.4,1.0,1.0
5.0,2.0,33.0,10.0,2.0,0.0
4.0,3.0,46.6,17.7,0.0,1.0
6.0,1.0,96.8,60.0,2.0,2.0
5.0,2.0,26.1,8.6,2.0,1.0
6.0,1.0,26.3,7.5,2.0,1.0
8.0,0.0,90.8,20.0,2.0,3.0
6.0,1.0,42.3,12.0,3.0,1.0
7.0,0.0,74.8,18.0,2.0,1.0
3.0,5.0,46.0,34.0,0.0,0.0
7.0,2.0,16.9,6.7,0.0,0.0
5.0,2.0,55.6,21.0,0.0,0.0
6.0,3.0,43.9,14.4,1.0,0.0
7.0,0.0,29.3,9.0,0.0,2.0
7.0,1.0,32.8,13.3,0.0,2.0
7.0,0.0,95.0,18.4,3.0,0.0
6.0,1.0,44.8,15.0,2.0,2.0
5.0,2.0,37.9,10.6,0.0,0.0
6.0,1.0,50.4,15.2,2.0,0.0
4.0,3.0,31.2,12.2,0.0,0.0
4.0,3.0,28.6,10.3,0.0,0.0
6.0,2.0,49.7,16.0,0.0,0.0
7.0,0.0,22.3,10.1,1.0,3.0
7.0,1.0,36.0,12.0,0.0,1.0
6.0,1.0,75.2,20.0,2.0,1.0
4.0,3.0,22.3,7.0,0.0,0.0
8.0,0.0,12.5,5.0,0.0,3.0
6.0,1.0,69.5,15.0,0.0,0.0
1.0,6.0,20.0,20.0,0.0,0.0
3.0,4.0,24.0,13.0,0.0,0.0
6.0,1.0,47.4,11.3,2.0,0.0
2.0,5.0,18.0,10.5,1.0,0.0
6.0,2.0,40.8,11.0,3.0,0.0
7.0,2.0,48.3,16.9,1.0,1.0
4.0,3.0,49.9,14.1,1.0,0.0
4.0,3.0,47.7,15.0,2.0,0.0
8.0,0.0,89.7,20.5,0.0,1.0
7.0,2.0,48.5,11.7,1.0,1.0
5.0,2.0,33.2,12.9,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
3.0,4.0,0.0,0.0,0.0,1.0
8.0,0.0,77.9,16.5,2.0,0.0
10.0,0.0,102.0,27.5,1.0,2.0
5.0,2.0,38.8,13.0,2.0,1.0
4.0,3.0,25.4,8.8,0.0,0.0
9.0,1.0,104.6,25.3,0.0,0.0
2.0,5.0,6.0,6.0,0.0,0.0
6.0,1.0,75.8,15.1,0.0,0.0
4.0,3.0,40.8,13.0,0.0,0.0
4.0,3.0,7.0,7.0,0.0,0.0
8.0,2.0,32.3,12.0,2.0,2.0
7.0,1.0,141.0,41.0,1.0,0.0
6.0,1.0,71.0,16.9,0.0,0.0
9.0,0.0,75.0,18.0,2.0,2.0
9.0,0.0,106.0,19.2,2.0,2.0
6.0,1.0,21.9,6.8,0.0,1.0
5.0,2.0,61.9,19.4,2.0,0.0
6.0,1.0,41.7,10.0,0.0,0.0
12.0,0.0,123.8,30.5,0.0,7.0
1.0,6.0,0.0,0.0,0.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,24.6,7.4,0.0,1.0
6.0,3.0,24.0,9.2,1.0,2.0
5.0,2.0,70.9,22.7,2.0,2.0
6.0,1.0,48.7,12.0,1.0,0.0
2.0,5.0,19.7,10.2,0.0,1.0
6.0,1.0,41.0,16.0,0.0,1.0
6.0,2.0,41.3,15.3,1.0,1.0
6.0,1.0,35.4,11.0,0.0,2.0
7.0,1.0,105.3,23.6,2.0,1.0
4.0,3.0,0.5,0.5,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
11.0,0.0,124.1,30.0,0.0,0.0
5.0,2.0,27.3,10.0,1.0,0.0
6.0,1.0,40.3,12.5,2.0,1.0
6.0,2.0,8.5,3.0,0.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,26.3,17.4,1.0,1.0
6.0,1.0,51.4,16.0,1.0,1.0
7.0,2.0,28.5,11.0,1.0,2.0
3.0,4.0,5.9,2.7,0.0,0.0
4.0,3.0,12.2,6.2,0.0,1.0
7.0,0.0,0.0,0.0,0.0,2.0
4.0,3.0,58.4,18.5,0.0,0.0
8.0,0.0,76.9,17.5,0.0,2.0
8.0,1.0,54.5,15.1,1.0,3.0
6.0,1.0,39.4,14.4,2.0,0.0
12.0,0.0,84.9,22.2,2.0,4.0
7.0,0.0,63.7,15.3,2.0,2.0
9.0,1.0,71.5,16.5,2.0,1.0
8.0,0.0,129.0,26.0,1.0,0.0
6.0,2.0,31.0,12.2,0.0,2.0
6.0,2.0,38.0,14.0,2.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,57.0,14.0,3.0,3.0
6.0,1.0,77.7,23.5,0.0,0.0
9.0,1.0,66.2,17.0,2.0,1.0
7.0,1.0,26.1,9.4,2.0,2.0
6.0,1.0,44.3,13.0,1.0,1.0
6.0,1.0,4.5,3.0,0.0,0.0
4.0,4.0,0.0,0.0,0.0,1.0
5.0,2.0,41.9,13.8,3.0,1.0
7.0,1.0,116.0,24.4,1.0,0.0
5.0,2.0,87.3,20.1,1.0,0.0
7.0,1.0,21.1,8.2,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,3.0,31.8,14.1,0.0,0.0
8.0,0.0,71.1,15.2,0.0,0.0
6.0,1.0,73.2,18.0,2.0,0.0
7.0,0.0,133.1,28.0,2.0,1.0
5.0,2.0,68.1,19.6,1.0,1.0
6.0,1.0,14.9,7.5,0.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,47.9,15.5,1.0,1.0
9.0,1.0,103.9,25.3,0.0,0.0
6.0,2.0,40.8,14.9,3.0,1.0
2.0,5.0,8.1,8.1,0.0,0.0
5.0,2.0,44.0,20.0,1.0,0.0
4.0,4.0,0.0,0.0,0.0,0.0
4.0,3.0,39.0,14.0,0.0,1.0
4.0,3.0,39.2,13.5,0.0,0.0
5.0,2.0,44.0,13.0,1.0,1.0
7.0,1.0,71.1,18.0,1.0,1.0
6.0,1.0,47.9,10.2,2.0,0.0
6.0,1.0,51.7,14.0,0.0,2.0
9.0,0.0,125.1,30.8,1.0,2.0
1.0,6.0,0.0,0.0,0.0,0.0
7.0,0.0,76.0,16.0,3.0,0.0
11.0,0.0,80.9,18.0,2.0,0.0
4.0,3.0,18.9,8.0,0.0,0.0
7.0,2.0,60.0,19.7,0.0,1.0
5.0,2.0,24.2,6.0,3.0,0.0
10.0,0.0,52.3,16.5,2.0,2.0
7.0,1.0,34.1,12.0,2.0,2.0
6.0,1.0,7.8,3.0,3.0,1.0
4.0,3.0,84.0,28.0,0.0,0.0
6.0,1.0,84.7,26.0,2.0,1.0
8.0,0.0,100.0,22.0,2.0,0.0
6.0,1.0,49.2,14.8,3.0,1.0
10.0,1.0,2.5,1.5,0.0,3.0
8.0,0.0,70.6,14.2,2.0,2.0
4.0,3.0,49.2,15.2,2.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,49.3,13.3,2.0,0.0
9.0,0.0,125.3,25.5,2.0,0.0
6.0,1.0,70.6,15.3,1.0,3.0
6.0,1.0,34.2,12.9,2.0,0.0
12.0,0.0,95.7,19.0,3.0,0.0
7.0,0.0,0.0,0.0,0.0,3.0
8.0,1.0,18.3,5.5,0.0,0.0
7.0,2.0,75.2,19.7,2.0,1.0
7.0,2.0,47.0,10.0,1.0,1.0
5.0,2.0,39.7,10.6,2.0,0.0
3.0,4.0,29.8,12.3,0.0,0.0
7.0,1.0,58.1,18.4,0.0,0.0
5.0,2.0,25.7,11.7,0.0,2.0
5.0,2.0,70.5,15.0,0.0,0.0
2.0,5.0,16.0,8.0,0.0,0.0
6.0,1.0,71.0,18.0,0.0,1.0
6.0,1.0,42.6,14.0,2.0,1.0
6.0,1.0,47.9,11.4,0.0,0.0
7.0,0.0,84.6,17.4,2.0,0.0
6.0,1.0,53.0,12.0,2.0,0.0
8.0,2.0,47.4,20.9,3.0,1.0
7.0,0.0,79.6,17.5,2.0,1.0
5.0,2.0,76.8,22.2,0.0,1.0
9.0,0.0,143.0,41.0,0.0,1.0
3.0,4.0,25.8,13.8,0.0,1.0
4.0,3.0,0.0,0.0,0.0,1.0
5.0,2.0,0.0,0.0,0.0,3.0
7.0,1.0,82.2,17.3,2.0,0.0
8.0,1.0,96.1,20.0,3.0,0.0
11.0,0.0,4.7,2.5,0.0,3.0
0.0,7.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,52.9,13.0,0.0,2.0
5.0,2.0,33.8,8.8,0.0,0.0
6.0,1.0,59.7,14.0,2.0,0.0
11.0,1.0,103.8,27.4,4.0,3.0
7.0,0.0,118.2,20.4,1.0,0.0
2.0,5.0,16.2,16.2,1.0,1.0
2.0,5.0,0.0,0.0,0.0,1.0
6.0,1.0,36.2,12.0,1.0,2.0
6.0,1.0,54.4,18.2,2.0,1.0
8.0,0.0,75.0,16.8,2.0,2.0
9.0,0.0,79.8,22.0,2.0,2.0
5.0,2.0,46.9,16.8,1.0,1.0
4.0,3.0,20.5,6.0,2.0,0.0
6.0,1.0,65.2,17.5,3.0,1.0
8.0,1.0,45.0,16.0,0.0,1.0
9.0,0.0,10.0,10.0,0.0,5.0
10.0,0.0,67.4,18.0,2.0,1.0
3.0,4.0,34.5,13.5,0.0,0.0
6.0,1.0,48.3,12.0,0.0,0.0
5.0,2.0,49.1,10.9,1.0,0.0
5.0,2.0,22.3,7.5,2.0,1.0
9.0,0.0,65.8,18.1,3.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,57.7,16.4,1.0,1.0
10.0,0.0,128.1,28.0,1.0,2.0
8.0,0.0,51.1,14.1,1.0,1.0
7.0,1.0,76.6,18.5,2.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,14.5,7.5,0.0,2.0
3.0,4.0,18.5,6.5,2.0,0.0
6.0,1.0,0.0,0.0,0.0,2.0
